No,Type,Name,M,WS,BS,A,W,Ld,Sv,N,Pt,Weapon,Type,Rng,A,SAP,SAT,Abilties,Keywords,Options
,,,,,,,,,,,,,,,,,,,,
1,HQ,Abaddon The Despoiler,"6""",2+,2+,2,2,8,3+,1,15,,,,,,,"You can only include one of this unit in your army.
Deep Strike
Lord of the Black Legion: You can re-roll hit rolls for attacks made by friendly Black Legion units whilst they are within 6"" of this unit.
Mark of Chaos Ascendant: Morale tests taken for friendly Heretic Astartes units are automatically passed whilst they are within 6"" of this unit.
Dark Destiny: Roll D12s when making saving throws for this unit, irrespective of the size of the blast markers next to it.","Chaos, Khorne, Nurgle, Slaanesh, Tzeentch, Heretic Astartes, Black Legion
Light, Infantry, Character, Chaos Lord, Terminator, Abaddon the Despoiler",
1,,,,,,,,,,,,Talon of Horus & Drach'nyen,Melee,Melee,User,5+,6+,,,
2,HQ,Lord,"6""",2+,2+,1,1,7,5+,1,5,,,,,,,"Lord of Chaos: Re-roll hit rolls of 1 for attacks made by friendly <Legion> units whilst they are within 6"" of this unit.","Chaos, <Mark of Chaos>, Heretic Astartes, <Legion>
Light, Infantry, Character, Chaos Lord",per Unit: This unit can have one of the following:.; per Unit (Power Rating +2): Jump Pack (Power Rating +2); per Unit (Power Rating +2): Terminator Armour (Power Rating +2); per Unit (Power Rating +1): Bike (Power Rating +1)
2,,,,,,,,,,,,,,,,,,This unit can have one of the following:,,
2,,,,,,,,,,,,,,,,,,"Jump Pack (Power Rating +2). If this unit has a Jump Pack, it: Has Move 12""; Deep Strike; keywords Jump Pack, Fly.",,
2,,,,,,,,,,,,,,,,,,"Terminator Armour (Power Rating +2). If this unit has Terminator Armour, it: Has Move 5"", Save 4+; Deep Strike; keyword Terminator.",,
2,,,,,,,,,,,,,,,,,,"Bike (Power Rating +1). If this unit has a Bike, it: Has Move 14""; keyword Biker; loses keyword Infantry.",,
2,,,,,,,,,,,,Helwrought Weapons,Melee,Melee,User,6+,6+,,,
3,HQ,Sorcerer,"6""",3+,3+,1,1,7,6+,1,3,,,,,,,,"Chaos, <Mark of Chaos>, Heretic Astartes, <Legion>
Light, Psyker, Character, Infantry, Sorcerer",per Unit: This unit can have one of the following:.; per Unit (Power Rating +2): Jump Pack (Power Rating +2); per Unit (Power Rating +2): Terminator Armour (Power Rating +2); per Unit (Power Rating +1): Bike (Power Rating +1)
3,,,,,,,,,,,,,,,,,,This unit can have one of the following:,,
3,,,,,,,,,,,,,,,,,,"Jump Pack (Power Rating +2). If this unit has a Jump Pack, it: Has Move 12""; Deep Strike; keywords Jump Pack, Fly.",,
3,,,,,,,,,,,,,,,,,,"Terminator Armour (Power Rating +2). If this unit has Terminator Armour, it: Has Move 5"", Save 4+; Deep Strike; keyword Terminator.",,
