No,Type,Name,M,WS,BS,A,W,Ld,Sv,N,Pt,Weapon,Type,Rng,A,SAP,SAT,Abilties,Keywords,Options
,,,,,,,,,,,,,,,,,,,,
1,HQ,Archon,"8""",2+,2+,1,1,7,3+,1,4,,,,,,,"Shadowfield: Saving throws taken for this unit cannot be re-rolled for any reason. The first time the result of a saving throw taken for this unit is a 1 or 2, for the rest of the battle this unit's Save characteristic is 8+.
Overlord: Re-roll hit rolls of 1 for attacks made by friendly <Kabal> units whilst they are within 6"" of this unit.","Aeldari, Drukhari, <Kabal>
Light, Infantry, Character, Archon",
1,,,,,,,,,,,,Husk Blade,Melee,Melee,User,7+,8+,,,
2,HQ,Lady Malys,"8""",2+,2+,1,1,7,3+,1,6,,,,,,,"Shadowfield: Saving throws taken for this unit cannot be re-rolled for any reason. The first time the result of a saving throw taken for this unit is a 1 or 2, for the rest of the battle this unit's Save characteristic is 8+.
Precognisant: After both players have deployed their armies, select up to three friendly Drukhari units and redeploy them. When doing so, you can set those units up in Tactical Reserves if you wish.","Aeldari, Drukhari, Kabal of the Poisoned Tongue
Light, Infantry, Character, Archon, Lady Malys",
2,,,,,,,,,,,,,,,,,,Lady Malys is a unit that contains 1 model. It is equipped with: The Lady's Blade. You can only include one of this unit in your army.,,
2,,,,,,,,,,,,The Lady's Blade,Melee,Melee,x2,7+,8+,,,
3,HQ,Haemonculus,"7""",2+,2+,1,1,6,8+,1,5,,,,,,,"Ignore Damage (6+)
Master of Pain: Add 1 to saving throws taken for friendly <Haemonculus Coven> units whilst they are within 6"" of any <Haemonculus Coven> units from your army with this ability.","Aeldari, Drukhari, <Haemonculus Coven>
Light, Infantry, Character, Haemonculus",
3,,,,,,,,,,,,Haemonculus Tools,Melee,Melee,User,6+,12+,,,
4,HQ,Succubus,"9""",2+,2+,1,1,6,6+,1,4,,,,,,,"Brides of Death: Re-roll hit rolls of 1 for attacks made with melee weapons by friendly <Wych Cult> units whilst they are within 6"" of this unit.
No Escape: If an Infantry unit within 1"" of any enemy units with this ability wishes to Fall Back, the players must roll off. The unit can only Fall Back if the player controlling it wins the roll-off.","Aeldari, Drukhari, <Wych Cult>
Light, Infantry, Character, Succubus",
4,,,,,,,,,,,,Wych Cult Weapons,Melee,Melee,User,8+,9+,,,
5,Troops,Kabalite Warriors,"7""",3+,3+,2,2,6,10+,10,4,,,,,,,,"Aeldari, Drukhari, <Kabal>, Kabalite Warriors
Light, Infantry","per weapon (Power Rating +1 per weapon): For every 10 models this unit contains, it can also be equipped with one of the following (Power Rating +1 per weapon): 1 Dark Lance; 1 Splinter Cannon."
5,,,"7""",3+,3+,4,4,6,10+,20,8,,,,,,,,,
5,,,,,,,,,,,,,,,,,,"For every 10 models this unit contains, it can also be equipped with one of the following (Power Rating +1 per weapon): 1 Dark Lance; 1 Splinter Cannon.",,
5,,,,,,,,,,,,Dark Lance,Heavy,"36""",1,10+,5+,,,
5,,,,,,,,,,,,Splinter Cannon,Heavy,"36""",1,5+,12+,Rapid Fire,,
5,,,,,,,,,,,,Splinter Rifles,Small Arms,"24""",User,5+,12+,Rapid Fire,,
5,,,,,,,,,,,,Close Combat Weapons,Melee,Melee,User,8+,9+,,,
6,Troops,Wyches,"9""",3+,3+,1,1,6,8+,5,2,,,,,,,"No Escape: If an Infantry unit within 1"" of any enemy units with this ability wishes to Fall Back, the players must roll off. The unit can only Fall Back if the player controlling it wins the roll-off.","Aeldari, Drukhari, <Wych Cult>
Light, Infantry, Wyches",
6,,,"9""",3+,3+,3,3,6,8+,15,6,,,,,,,,,
6,,,"9""",3+,3+,4,4,6,8+,20,8,,,,,,,,,
6,,,,,,,,,,,,Splinter Pistols,Small Arms,"12""",User,5+,12+,,,
6,,,,,,,,,,,,Wych Weapons,Melee,Melee,x2,6+,8+,,,
7,Troops,Wracks,"7""",3+,3+,2,1,6,9+,5,3,,,,,,,Ignore Damage (6+),"Aeldari, Drukhari, <Haemonculus Coven>
Light, Infantry, Wracks",
7,,,"7""",3+,3+,4,2,6,9+,10,5,,,,,,,,,
7,,,,,,,,,,,,Haemonculus Tools,Melee,Melee,User,6+,12+,,,
8,Elites,Grotesques,"7""",3+,6+,2,2,6,8+,3,5,,,,,,,,"Aeldari, Drukhari, <Haemonculus Coven>
Light, Infantry, Grotesques","per Unit: For each model this unit contains, it must also be equipped with one of the following: 1 Monstrous Cleaver; 1 Liquifier Gun."
8,,,"7""",3+,6+,4,4,6,8+,6,12,,,,,,,,,
8,,,"7""",3+,6+,6,6,6,8+,9,18,,,,,,,,,
8,,,"7""",3+,6+,7,7,6,8+,10,20,,,,,,,,,
8,,,,,,,,,,,,,,,,,,"For each model this unit contains, it must also be equipped with one of the following: 1 Monstrous Cleaver; 1 Liquifier Gun.",,
8,,,,,,,,,,,,Liquifier Gun,Heavy,"8""",1,7+,9+,Inferno,,
8,,,,,,,,,,,,Flesh Gauntlets,Melee,Melee,User,6+,10+,,,
8,,,,,,,,,,,,Monstrous Cleaver,Melee,Melee,2,5+,8+,,,
