No,Type,Name,M,WS,BS,A,W,Ld,Sv,N,Pt,Weapon,Type,Rng,A,SAP,SAT,Abilties,Keywords,Options
,,,,,,,,,,,,,,,,,,,,
1,HQ,Farseer,"7""",2+,2+,1,1,7,6+,1,4,,,,,,,"Runes of the Farseer: If this unit is a Warlord, then once per battle, at the end of the Orders phase, you can look through your Command Asset deck, draw one Asuryani Command Asset card of your choice and add it to your hand. Then shuffle the Command Asset deck and place it face down.","Aeldari, Asuryani, Warhost, <Craftworld>
Light, Infantry, Psyker, Character, Farseer",
1,,,,,,,,,,,,,,,,,"This unit can have a Skyrunner Jetbike (Power Rating +2). If this unit has a Skyrunner Jetbike, it:
- Has a Move characteristic of 17"".
- Has a Save characteristic of 5+.
- Has the following additional keywords: Biker, Fly, Farseer Skyrunner.
- Loses the following keywords: Infantry.",,,
1,,,,,,,,,,,,Witchblade,Melee,Melee,User,8+,8+,Witchfire,,
2,HQ,Autarch,"7""",2+,2+,1,1,7,5+,1,5,,,,,,,"Path of Command: If this unit is a Warlord, you can secretly choose two orders to issue to this unit's Detachment instead of one, placing an order marker for each. After all orders are revealed, discard one of those order markers; the Detachment is considered not to have been issued that order.
Skyleap: If this unit has Swooping Hawk Wings, then when it makes a Move action, it can skyleap instead of moving. If it does, it is removed from the battlefield and placed into Tactical Reserves. When this unit arrives as reinforcements, set it up anywhere on the battlefield that is more than 9"" away from any enemy units. A unit cannot skyleap if it was set up on the battlefield this turn, if there are any enemy units in base contact with it, or if there are any blast markers next to it.
Warp Jump Generator: If this unit has a Warp Jump Generator, then instead of making a Move action, this unit can perform a warp jump. If it has any blast markers next to it, you must first resolve damage for it as if it were the Damage phase. If it is not destroyed, remove this unit from the battlefield, set it up anywhere on the battlefield that is more than 9"" away from any enemy units and then roll one D12; on a 1, place one blast marker next to this unit.","Aeldari, Asuryani, Warhost, <Craftworld>
Light, Infantry, Character, Autarch","per Unit: Path of Command: If this unit is a Warlord, you can secretly choose two orders to issue to this unit's Detachment instead of one, placing an order marker for each.; per Unit: Skyleap: If this unit has Swooping Hawk Wings, then when it makes a Move action, it can skyleap instead of moving.; per Unit: Warp Jump Generator: If this unit has a Warp Jump Generator, then instead of making a Move action, this unit can perform a warp jump."
2,,,,,,,,,,,,,,,,,"This unit can have one of the following:
- Skyrunner Jetbike (Power Rating +1). If this unit has a Skyrunner Jetbike, it:
  - Has a Move characteristic of 17"".
  - Has the following additional keywords: Biker, Fly.
  - Loses the following keywords: Infantry.
- Warp Jump Generator (Power Rating +2). If this unit has a Warp Jump Generator, it:
  - Has the following additional abilities: Deep Strike, Warp Jump Generator.
  - Has the following additional keywords: Jump Pack.
- Swooping Hawk Wings (Power Rating +2). If this unit has Swooping Hawk Wings, it:
  - Has a Move characteristic of 14"".
  - Has the following additional abilities: Deep Strike, Skyleap.
  - Has the following additional keywords: Jump Pack, Fly.",,,
2,,,,,,,,,,,,Autarch Weapons,Melee,Melee,User,8+,8+,,,
3,HQ,Phoenix Lord,"7""",2+,2+,2,1,7,4+,1,9,,,,,,,"You can only include one Phoenix Lord in your army.
Lord of <Aspect>: <Aspect> units within 6"" of this unit and this unit re-roll failed attacks.","Aeldari, Asuryani, Aspect Warrior
Light, Infantry, Character, Phoenix Lord","per Unit: Asurmen - equipped with Sword of Asur & Avenger Shuriken catapults. Hand of Asuryan. Improve saving throws of Aspect Warriors within 6"" by 1. Lord of <Dire Avengers>.; per Unit: Baharoth - equipped with Hawks Talon and Shining Blade. Deep strike. Harrier. Brilliant sun. Add 1 to leadership to aspect warriors within 6"". Lord of <Swooping Hawks>.; per Unit: Feugan - equipped with Fire Pike and Fire Axe. Ignore Damage (6+). Assured Destruction. Fire Dragons within 6"" of this unit and this unit re-roll wound rolls of 1 against Heavy or Super-heavy units. Lord of <Fire Dragons>.; per Unit: Karandras - equipped with Lord Weapon and Scorpion's Bite. Deep strike. Infiltrators. A thousand stings: for each attack against a Light non-character unit, add 1 A. Lord of <Striking Scorpions>.; per Unit: Jain Zar - equipped with Lord Ranged Weapon and Blade of Destruction. Terror Troops. Cry of War: enemy units within 2"" of this unit subtract 1 from hit rolls with melee weapons. Lord of <Howling Banshees>.; per Unit: Maugan Ra - equipped with Maugetar. Legacy of Altansar: this unit and Dark Reapers within 6"" reroll wound rolls of 1 against Chaos units. Lord of <Dark Reapers>.; per Unit: Lhykhis - equipped with Lord Weapon and Weaveender. Deep strike. Infiltrators. Perfect Warp Jump: instead of a Move action, this unit can perform a warp jump and set up anywhere more than 9"" from enemy units. Whispering Web: Warp Spiders within 6"" of this unit gain Perfect Warp Jump and Infiltrators. Lord of <Warp Spiders>."
3,,,,,,,,,,,,Lord Weapon,Melee,Melee,User,6+,8+,,,
3,,,,,,,,,,,,Lord Ranged Weapon,Small Arms,"12""",1,7+,8+,,,
