No,Type,Name,M,WS,BS,A,W,Ld,Sv,N,Pt,Weapon,Type,Rng,A,SAP,SAT,Abilties,Keywords,Options
,,,,,,,,,,,,,,,,,,,,
1,HQ,Patriarch,"9""",2+,5+,1,1,8,7+,1,7,,,,,,,"Brood Telepathy: Add 1 to hit rolls for attacks made with melee weapons by <Cult> Genestealer units whilst they are within 6"" of any friendly <Cult> units with this ability.
Living Idol: Morale tests taken for friendly <Cult> units are automatically passed whilst they are within 6"" of this unit.","Tyranids, Genestealer Cults, <Cult>
Light, Infantry, Psyker, Character, Genestealer, Patriarch",
1,,,,,,,,,,,,,,,,,,A Patriarch is a unit that contains 1 model. It is equipped with: Monstrous Rending Claws.,,
1,,,,,,,,,,,,Monstrous Rending Claws,Melee,Melee,User,4+,7+,,,
2,HQ,Magus,"6""",3+,3+,1,1,6,10+,1,4,,,,,,,"Spiritual Leader: Friendly <Cult> units can use this unit's Leadership characteristic instead of their own whilst they are within 6"" of this unit.
Master Psyker: Once per battle, at the end of the Orders phase, you can look through your Command Asset deck and draw either one Genestealer Cults Command Asset of your choice that is a psychic power, or the Deny the Witch or Adamantium Will card. Add the drawn card to your hand, then shuffle the Command Asset deck and place it face down.","Tyranids, Genestealer Cults, <Cult>
Light, Infantry, Psyker, Character, Magus",
2,,,,,,,,,,,,,,,,,,A Magus is a unit that contains 1 model. It is equipped with: Magus Force Weapon.,,
2,,,,,,,,,,,,Magus Force Weapon,Melee,Melee,User,10+,10+,,,
3,HQ,Primus,"6""",2+,3+,1,1,7,10+,1,3,,,,,,,"Cult Demagogue: Add 1 to hit rolls for attacks made with melee weapons by <Cult> units whilst they are within 6"" of any friendly <Cult> units with this ability.","Tyranids, Genestealer Cults, <Cult>
Light, Infantry, Character, Primus",
3,,,,,,,,,,,,,,,,,,A Primus is a unit that contains 1 model. It is equipped with: Elite Cult Weapons.,,
3,,,,,,,,,,,,Elite Cult Weapons,Melee,Melee,User,8+,8+,,,
4,Lord,Abominant,"6""",3+,6+,1,1,6,10+,1,4,,,,,,,"Ignore Damage (6+)
The Chosen One: When an unmodified hit roll of 6+ is rolled for an attack made with a melee weapon by a <Cult> Aberrant unit whilst it is within 6"" of any friendly <Cult> units with this ability, that attack scores 2 hits instead of 1 – make a separate wound roll for each hit.","Tyranids, Genestealer Cults, <Cult>
Light, Infantry, Character, Aberrant, Abominant",
4,,,,,,,,,,,,,,,,,,An Abominant is a unit that contains 1 model. It is equipped with: Power Sledgehammer.,,
4,,,,,,,,,,,,Power Sledgehammer,Melee,Melee,User,6+,7+,,,
5,Troops,Acolyte Hybrids,"6""",3+,4+,1,1,6,10+,5,3,,,,,,,,"Tyranids, Genestealer Cults, <Cult>
Light, Infantry, Acolyte Hybrids","per 15 models (Power Rating 6): It can contain 10 models (Power Rating 6), 15 models (Power Rating 9); per 15 models (Power Rating 9): It can contain 10 models (Power Rating 6), 15 models (Power Rating 9); per 20 models (Power Rating 12): 20 models (Power Rating 12); per weapon (Power Rating +1 per weapon): For every 5 models this unit contains, it can also be equipped with up to two of the following in any combination (Power Rating +1 per weapon): 1 Demolition Charge; 1 Heavy Rock Drill; 1 Heavy Rock Saw."
5,,,"6""",3+,4+,2,2,6,10+,10,6,,,,,,,,,
5,,,"6""",3+,4+,3,3,6,10+,15,9,,,,,,,,,
5,,,"6""",3+,4+,4,4,6,10+,20,12,,,,,,,,,
5,,,,,,,,,,,,,,,,,,"Acolyte Hybrids are a unit that contains 5 models. It can contain 10 models (Power Rating 6), 15 models (Power Rating 9) or 20 models (Power Rating 12). It is equipped with: Acolyte Weapons; Rending Claws.",,
5,,,,,,,,,,,,,,,,,,"For every 5 models this unit contains, it can also be equipped with up to two of the following in any combination (Power Rating +1 per weapon): 1 Demolition Charge; 1 Heavy Rock Drill; 1 Heavy Rock Saw.",,
5,,,,,,,,,,,,Demolition Charge,Heavy,"6""",1,6+,4+,One Use Only,,
5,,,,,,,,,,,,Acolyte Weapons,Small Arms,"12""",User,7+,9+,,,
5,,,,,,,,,,,,Heavy Rock Drill,Melee,Melee,1,8+,5+,,,
5,,,,,,,,,,,,Heavy Rock Saw,Melee,Melee,1,5+,8+,,,
5,,,,,,,,,,,,Rending Claws,Melee,Melee,x2,6+,8+,,,
6,Troops,Neophyte Hybrids,"6""",4+,4+,2,2,6,8+,10,5,,,,,,,,"Tyranids, Genestealer Cults, <Cult>
Light, Infantry, Neophyte Hybrids",per 20 models (Power Rating 10): It can contain 20 models (Power Rating 10); per weapon (Power Rating +1 per weapon): This unit can also be equipped with up to two of the following in any combination (Power Rating +1 per weapon): 1 Heavy Stubber; 1 Mining Laser; 1 Seismic Cannon.
6,,,"6""",4+,4+,4,4,6,8+,20,10,,,,,,,,,
6,,,,,,,,,,,,,,,,,,Neophyte Hybrids are a unit that contains 10 models. It can contain 20 models (Power Rating 10). It is equipped with: Scavenged Weapons; Close Combat Weapons.,,
6,,,,,,,,,,,,,,,,,,This unit can also be equipped with up to two of the following in any combination (Power Rating +1 per weapon): 1 Heavy Stubber; 1 Mining Laser; 1 Seismic Cannon.,,
6,,,,,,,,,,,,Heavy Stubber,Heavy,"36""",1,8+,10+,,,
6,,,,,,,,,,,,Mining Laser,Heavy,"36""",1,10+,6+,,,
6,,,,,,,,,,,,Seismic Cannon,Heavy,"24""",1,7+,7+,,,
6,,,,,,,,,,,,Scavenged Weapons,Small Arms,"24""",User,9+,10+,Rapid Fire,,
6,,,,,,,,,,,,Close Combat Weapons,Melee,Melee,User,8+,10+,,,
7,Troops,Brood Brothers Infantry Squad,"6""",4+,4+,2,2,6,10+,10,3,,,,,,,,"Tyranids, Genestealer Cults, Brood Brothers
Light, Infantry, Brood Brothers Infantry Squad","per 20 models (Power Rating 6): It can contain 20 models (Power Rating 6); per Unit (Power Rating +1): It can contain 1 weapons team model instead of 2 other models (Power Rating +1); per Unit: If this unit contains a weapons team model, it must also be equipped with one of the following: 1 Autocannon; 1 Heavy Bolter; 1 Lascannon; 1 Missile Launcher; 1 Mortar."
7,,,"6""",4+,4+,4,4,6,10+,20,6,,,,,,,,,
7,,,,,,,,,,,,,,,,,,A Brood Brothers Infantry Squad is a unit that contains 10 models. It can contain 20 models (Power Rating 6). It can contain 1 weapons team model instead of 2 other models (Power Rating +1). It is equipped with: Lasguns; Close Combat Weapons.,,
7,,,,,,,,,,,,,,,,,,"If this unit contains a weapons team model, it must also be equipped with one of the following: 1 Autocannon; 1 Heavy Bolter; 1 Lascannon; 1 Missile Launcher; 1 Mortar.",,
7,,,,,,,,,,,,Autocannon,Heavy,"48""",1,8+,8+,,,
7,,,,,,,,,,,,Heavy Bolter,Heavy,"36""",1,7+,9+,,,
7,,,,,,,,,,,,Lascannon,Heavy,"48""",1,10+,5+,,,
7,,,,,,,,,,,,Missile Launcher,Heavy,"48""",1,7+,7+,,,
7,,,,,,,,,,,,Mortar,Heavy,"48""",1,8+,10+,Barrage,,
7,,,,,,,,,,,,Lasguns,Small Arms,"24""",User,8+,10+,Rapid Fire,,
7,,,,,,,,,,,,Close Combat Weapons,Melee,Melee,User,8+,10+,,,
8,Elites,Acolyte Iconward,"6""",3+,3+,1,1,6,10+,1,3,,,,,,,"Sacred Cult Banner: Morale tests taken for friendly <Cult> units are automatically passed whilst they are within 6"" of this unit.
Nexus of Devotion: Friendly <Cult> Light units have the Ignore Damage (6+) ability whilst they are within 6"" of this unit.","Tyranids, Genestealer Cults, <Cult>
Light, Infantry, Character, Acolyte Iconward",
8,,,,,,,,,,,,,,,,,,An Acolyte Iconward is a unit that contains 1 model. It is equipped with: Rending Claw.,,
8,,,,,,,,,,,,Rending Claw,Melee,Melee,User,8+,9+,,,
9,Elites,Purestrain Genestealers,"9""",3+,-,1,1,7,9+,5,5,,,,,,,,"Tyranids, Genestealer Cults, <Cult>
Light, Infantry, Genestealer, Purestrain Genestealers","per 15 models (Power Rating 10): It can contain 10 models (Power Rating 10), 15 models (Power Rating 15); per 15 models (Power Rating 15): It can contain 10 models (Power Rating 10), 15 models (Power Rating 15); per 20 models (Power Rating 20): 20 models (Power Rating 20)"
9,,,"9""",3+,-,2,2,7,9+,10,10,,,,,,,,,
9,,,"9""",3+,-,3,3,7,9+,15,15,,,,,,,,,
