No,Type,Name,M,WS,BS,A,W,Ld,Sv,N,Pt,Weapon,Type,Rng,A,SAP,SAT,Abilties,Keywords,Options
,,,,,,,,,,,,,,,,,,,,
1,HQ,Knight Paladin,"12""",3+,3+,4,5,7,5+,1,24,,,,,,,,"Imperium, Imperial Knights, <Questor Allegiance>, <Household>
Super-heavy, Vehicle, Titanic, Questoris Class, Knight Paladin","per Unit: • Instead of 1 Reaper Chainsword, this unit can be equipped with 1 Thunderstrike Gauntlet.; per Unit (Power Rating +1): This unit can also be equipped with one of the following (Power Rating +1): 1 Ironstorm Missile Pod; 1 Stormspear Rocket Pod; 1 Twin Icarus Autocannon.; per Unit: • Instead of 1 Heavy Stubber, this unit can be equipped with 1 Meltagun."
1,,,,,,,,,,,,,,,,,,"• Instead of 1 Reaper Chainsword, this unit can be equipped with 1 Thunderstrike Gauntlet.",,
1,,,,,,,,,,,,,,,,,,• This unit can also be equipped with one of the following (Power Rating +1): 1 Ironstorm Missile Pod; 1 Stormspear Rocket Pod; 1 Twin Icarus Autocannon.,,
1,,,,,,,,,,,,,,,,,,"• Instead of 1 Heavy Stubber, this unit can be equipped with 1 Meltagun.",,
1,,,,,,,,,,,,Rapid-fire Battle Cannon,Heavy,"72""",4,6+,6+,,,
1,,,,,,,,,,,,Heavy Stubber,Heavy,"36""",1,8+,10+,,,
1,,,,,,,,,,,,Ironstorm Missile Pod,Heavy,"72""",2,6+,9+,Barrage,,
1,,,,,,,,,,,,Meltagun,Heavy,"12""",1,11+,7+,,,
1,,,,,,,,,,,,Stormspear Rocket Pod,Heavy,"48""",1,6+,5+,,,
1,,,,,,,,,,,,Twin Icarus Autocannon,Heavy,"48""",2,8+,8+,Anti-air,,
1,,,,,,,,,,,,Reaper Chainsword,Melee,Melee,User,5+,6+,Destroyer,,
1,,,,,,,,,,,,Thunderstrike Gauntlet,Melee,Melee,User,6+,5+,Destroyer,,
2,HQ,Knight Errant,"12""",3+,3+,4,5,7,5+,1,24,,,,,,,,"Imperium, Imperial Knights, <Questor Allegiance>, <Household>
Super-heavy, Vehicle, Titanic, Questoris Class, Knight Errant","per Unit: • Instead of 1 Reaper Chainsword, this unit can be equipped with 1 Thunderstrike Gauntlet.; per Unit (Power Rating +1): This unit can also be equipped with one of the following (Power Rating +1): 1 Ironstorm Missile Pod; 1 Stormspear Rocket Pod; 1 Twin Icarus Autocannon.; per Unit: • Instead of 1 Heavy Stubber, this unit can be equipped with 1 Meltagun."
2,,,,,,,,,,,,,,,,,,"• Instead of 1 Reaper Chainsword, this unit can be equipped with 1 Thunderstrike Gauntlet.",,
2,,,,,,,,,,,,,,,,,,• This unit can also be equipped with one of the following (Power Rating +1): 1 Ironstorm Missile Pod; 1 Stormspear Rocket Pod; 1 Twin Icarus Autocannon.,,
2,,,,,,,,,,,,,,,,,,"• Instead of 1 Heavy Stubber, this unit can be equipped with 1 Meltagun.",,
2,,,,,,,,,,,,Thermal Cannon,Heavy,"36""",2,6+,4+,Destroyer,,
2,,,,,,,,,,,,Heavy Stubber,Heavy,"36""",1,8+,10+,,,
2,,,,,,,,,,,,Ironstorm Missile Pod,Heavy,"72""",2,6+,9+,Barrage,,
2,,,,,,,,,,,,Meltagun,Heavy,"12""",1,11+,7+,,,
2,,,,,,,,,,,,Stormspear Rocket Pod,Heavy,"48""",1,6+,5+,,,
2,,,,,,,,,,,,Twin Icarus Autocannon,Heavy,"48""",2,8+,8+,Anti-air,,
2,,,,,,,,,,,,Reaper Chainsword,Melee,Melee,User,5+,6+,Destroyer,,
2,,,,,,,,,,,,Thunderstrike Gauntlet,Melee,Melee,User,6+,5+,Destroyer,,
3,HQ,Knight Castellan,"10""",4+,3+,4,6,7,5+,1,30,,,,,,,"Dual Plasma Core Explosion: When this unit is destroyed, roll two D12 instead of one D12 to determine if it explodes, and it does so on any result of a 10+. When this unit explodes, place one blast marker next to every unit (excluding Super-heavy units) that is within 12"" of this unit instead of 6"".","Imperium, Imperial Knights, <Questor Allegiance>, <Household>
Super-heavy, Vehicle, Titanic, Dominus Class, Knight Castellan","per Unit: • Instead of 1 Twin Siegebreaker Cannon, this unit can be equipped with 2 Shieldbreaker Missiles."
3,,,,,,,,,,,,,,,,,,"• Instead of 1 Twin Siegebreaker Cannon, this unit can be equipped with 2 Shieldbreaker Missiles.",,
3,,,,,,,,,,,,Plasma Decimator,Heavy,"48""",2,6+,6+,Supercharge,,
3,,,,,,,,,,,,Shieldbreaker Missile,Heavy,"48""",1,9+,5+,One Use Only,,
3,,,,,,,,,,,,Twin Meltagun,Heavy,"12""",2,11+,4+,,,
3,,,,,,,,,,,,Twin Siegebreaker Cannon,Heavy,"48""",2,7+,7+,,,
3,,,,,,,,,,,,Volcano Lance,Heavy,"80""",2,10+,3+,Destroyer,,
3,,,,,,,,,,,,Titanic Feet,Melee,Melee,User,7+,7+,,,
4,HQ,Knight Gallant,"12""",2+,3+,4,5,7,5+,1,24,,,,,,,,"Imperium, Imperial Knights, <Questor Allegiance>, <Household>
Super-heavy, Titanic, Vehicle, Questoris Class, Knight Gallant","per Unit (Power Rating +1): This unit can also be equipped with one of the following (Power Rating +1): 1 Ironstorm Missile Pod; 1 Stormspear Rocket Pod; 1 Twin Icarus Autocannon.; per Unit: • Instead of 1 Heavy Stubber, this unit can be equipped with 1 Meltagun."
4,,,,,,,,,,,,,,,,,,• This unit can also be equipped with one of the following (Power Rating +1): 1 Ironstorm Missile Pod; 1 Stormspear Rocket Pod; 1 Twin Icarus Autocannon.,,
4,,,,,,,,,,,,,,,,,,"• Instead of 1 Heavy Stubber, this unit can be equipped with 1 Meltagun.",,
4,,,,,,,,,,,,Heavy Stubber,Heavy,"36""",1,8+,10+,,,
4,,,,,,,,,,,,Ironstorm Missile Pod,Heavy,"72""",2,6+,9+,Barrage,,
4,,,,,,,,,,,,Meltagun,Heavy,"12""",1,11+,7+,,,
4,,,,,,,,,,,,Stormspear Rocket Pod,Heavy,"48""",1,6+,5+,,,
4,,,,,,,,,,,,Twin Icarus Autocannon,Heavy,"48""",2,8+,8+,Anti-air,,
4,,,,,,,,,,,,Reaper Chainsword,Melee,Melee,User,5+,6+,Destroyer,,
4,,,,,,,,,,,,Thunderstrike Gauntlet,Melee,Melee,User,6+,5+,Destroyer,,
5,Lord,Canis Rex,"12""",2+,2+,4,5,7,5+,1,30,,,,,,,"Chainbreaker: Add 1 to the Leadership characteristic of friendly Imperium units whilst they are within 6"" of this unit.
You can only have one of this unit in your army.","Imperium, Imperial Knights
Questor Imperialis, Freeblade, Super-heavy, Character, Vehicle, Titanic, Questoris Class, Knight Preceptor, Canis Rex",
5,,,,,,,,,,,,Las-impulsor,Heavy,"36""",4,5+,5+,,,
5,,,,,,,,,,,,Multi-laser,Heavy,"36""",1,6+,10+,,,
5,,,,,,,,,,,,Freedom's Hand,Melee,Melee,User,5+,4+,Destroyer,,
6,Lord,Armiger Helverin,"14""",3+,3+,2,2,6,5+,1,9,,,,,,,"Vehicle Squadron: Each Lord of War slot in a Detachment allows you to take up to three of this unit in your army, instead of one. Each unit taken for a single Lord of War slot must be placed at the same time and within 6"" of each other unit taken for the same slot the first time they are set up.","Imperium, Imperial Knights, <Questor Allegiance>, <Household>
Heavy, Vehicle, Armiger Class, Armiger Helverin","per Unit: • Instead of 1 Heavy Stubber, this unit can be equipped with 1 Meltagun."
6,,,,,,,,,,,,,,,,,,"• Instead of 1 Heavy Stubber, this unit can be equipped with 1 Meltagun.",,
6,,,,,,,,,,,,Armiger Autocannon,Heavy,"60""",2,7+,7+,,,
6,,,,,,,,,,,,Heavy Stubber,Heavy,"36""",1,8+,10+,,,
6,,,,,,,,,,,,Meltagun,Heavy,"12""",1,11+,7+,,,
6,,,,,,,,,,,,Armoured Feet,Melee,Melee,User,9+,10+,,,
7,Lord,Armiger Warglaive,"14""",3+,3+,2,2,6,5+,1,9,,,,,,,"Vehicle Squadron: Each Lord of War slot in a Detachment allows you to take up to three of this unit in your army, instead of one. Each unit taken for a single Lord of War slot must be placed at the same time and within 6"" of each other unit taken for the same slot the first time they are set up.","Imperium, Imperial Knights, <Questor Allegiance>
Heavy, Vehicle, Armiger Class, Armiger Warglaive","per Unit: • Instead of 1 Heavy Stubber, this unit can be equipped with 1 Meltagun."
7,,,,,,,,,,,,,,,,,,"• Instead of 1 Heavy Stubber, this unit can be equipped with 1 Meltagun.",,
7,,,,,,,,,,,,Heavy Stubber,Heavy,"36""",1,8+,10+,,,
7,,,,,,,,,,,,Meltagun,Heavy,"12""",1,11+,7+,,,
7,,,,,,,,,,,,Thermal Spear,Heavy,"30""",1,10+,4+,,,
7,,,,,,,,,,,,Armoured Feet,Melee,Melee,User,9+,10+,,,
7,,,,,,,,,,,,Reaper Chain-cleaver,Melee,Melee,User,7+,7+,,,
8,Lord,War Dog,"14""",3+,3+,2,2,6,5+,1,9,,,,,,,"Vehicle Squadron: Each Lord of War slot in a Detachment allows you to take up to three of this unit in your army, instead of one. Each unit taken for a single Lord of War slot must be placed at the same time and within 6"" of each other unit taken for the same slot the first time they are set up.","Chaos, Chaos Knights, <Questor Traitoris>
Heavy, Vehicle, War Dog","per Unit: • Instead of 1 Heavy Stubber, this unit can be equipped with 1 Meltagun.; per Unit: • Instead of 2 War Dog Autocannons, this unit can be equipped with 1 Thermal Spear and 1 Reaper Chain-cleaver."
8,,,,,,,,,,,,,,,,,,"• Instead of 1 Heavy Stubber, this unit can be equipped with 1 Meltagun.",,
8,,,,,,,,,,,,,,,,,,"• Instead of 2 War Dog Autocannons, this unit can be equipped with 1 Thermal Spear and 1 Reaper Chain-cleaver.",,
8,,,,,,,,,,,,Heavy Stubber,Heavy,"36""",1,8+,10+,,,
8,,,,,,,,,,,,Meltagun,Heavy,"12""",1,11+,7+,,,
8,,,,,,,,,,,,Thermal Spear,Heavy,"30""",1,10+,4+,,,
8,,,,,,,,,,,,War Dog Autocannon,Heavy,"60""",2,7+,7+,,,
8,,,,,,,,,,,,Armoured Feet,Melee,Melee,User,9+,10+,,,
8,,,,,,,,,,,,Reaper Chain-cleaver,Melee,Melee,User,7+,7+,,,
9,HQ,Knight Despoiler,"12""",3+,3+,4,5,7,5+,1,24,,,,,,,"Engine of Destruction: If this unit is equipped with 1 Reaper Chainsword and 1 Thunderstrike Gauntlet, change its Weapon Skill characteristic to 2+.","Chaos, Chaos Knights, <Questor Traitoris>
Super-heavy, Titanic, Vehicle, Knight Despoiler","per Unit (Power Rating +1): This unit can also be equipped with one of the following (Power Rating +1): 1 Ironstorm Missile Pod; 1 Stormspear Rocket Pod; 1 Twin Icarus Autocannon.; per Unit: • Instead of 1 Thunderstrike Gauntlet, this unit can be equipped with one of the following: 1 Avenger Gatling Cannon and 1 Heavy Flamer; 1 Rapid-fire Battle Cannon and 1 Heavy Stubber; 1 Thermal Cannon.; per Unit: • Instead of 1 Reaper Chainsword, this unit can be equipped with one of the following: 1 Avenger Gatling Cannon and 1 Heavy Flamer; 1 Rapid-fire Battle Cannon and 1 Heavy Stubber; 1 Thermal Cannon.; per Unit: • Instead of 1 Heavy Stubber, this unit can be equipped with 1 Meltagun."
9,,,,,,,,,,,,,,,,,,• This unit can also be equipped with one of the following (Power Rating +1): 1 Ironstorm Missile Pod; 1 Stormspear Rocket Pod; 1 Twin Icarus Autocannon.,,
