No,Type,Name,M,WS,BS,A,W,Ld,Sv,N,Pt,Weapon,Type,Rng,A,SAP,SAT,Abilties,Keywords,Options
,,,,,,,,,,,,,,,,,,,,
1,HQ,Morvenn Vahl,"8""",3+,3+,2,3,6,5+,1,8,,,,,,,"Righteous Reprimand: Re-roll hit rolls of 1 for attacks made by friendly Adepta Sororitas units whilst they are within 6"" of this unit.
Leader of the Faithful: Improve the Save characteristic (to a maximum of 3+) of friendly Adepta Sororitas Infantry units by 1 whilst they are wholly within 6"" of this unit.","Imperium, Adeptus Ministorum, Adepta Sororitas, Order of Our Martyred Lady
Heavy, Vehicle, Walker, Character, Morvenn Vahl",
1,,,,,,,,,,,,,,,,,,Morvenn Vahl is a unit that contains 1 model. It is equipped with: Fidelis; Paragon Missile Launcher; Lance of Illumination. You can only include one of this unit in your army.,,
1,,,,,,,,,,,,Fidelis,Small Arms,"36""",User,6+,10+,Rapid Fire,,
1,,,,,,,,,,,,Paragon Missile Launcher (Prioris),Heavy,"36""",2,5+,6+,,,
1,,,,,,,,,,,,Lance of Illumination,Melee,Melee,User,6+,6+,,,
2,HQ,Canoness,"6""",2+,2+,1,1,7,5+,1,4,,,,,,,"Lead the Righteous: Re-roll hit rolls of 1 for attacks made by friendly <Order> units whilst they are within 6"" of this unit.","Imperium, Adeptus Ministorum, Adepta Sororitas, <Order>
Light, Infantry, Character, Canoness",
2,,,,,,,,,,,,Master-crafted Weapons,Melee,Melee,User,8+,9+,,,
3,HQ,Missionary,"6""",4+,4+,1,1,5,8+,1,3,,,,,,,"War Hymns: Add 1 to the Attacks characteristic of friendly Adeptus Ministorum Infantry and Astra Militarum Infantry units whilst they are making Fight actions whilst within 6"" of any friendly units with this ability.
Word of the Emperor: Re-roll failed Morale tests taken for Adeptus Ministorum Infantry units whilst within 6"" of any friendly units with this ability.
Lone Mission: No more than one Missionary unit can be included in each Detachment.
Zealot: You can re-roll hit rolls for attacks made with melee weapons by this unit.","Imperium, Adeptus Ministorum
Light, Infantry, Character, Ministorum Priest, Missionary",
3,,,,,,,,,,,,Close Combat Weapons,Melee,Melee,User,10+,10+,,,
4,HQ,Hospitaller,"6""",4+,3+,1,1,6,6+,1,2,,,,,,,"Medicus Ministorum: At the end of the Action phase, this unit can attempt to heal one friendly Adeptus Ministorum Light unit in base contact with it. If it does, roll one D6; on a 4+ remove one damage marker from that Light unit. Only one attempt to heal each unit can be made each turn.","Imperium, Adeptus Ministorum, Adepta Sororitas
Light, Infantry, Character, Hospitaller",
4,,,,,,,,,,,,Chirurgeon's Tools,Melee,Melee,User,11+,11+,,,
5,Troops,Battle Sisters Squad,"6""",4+,3+,1,1,7,6+,5,3,,,,,,,,"Imperium, Adeptus Ministorum, Adepta Sororitas, <Order>
Light, Infantry, Battle Sisters Squad",per Unit (Power Rating +1): This unit can also be equipped with one of the following (Power Rating +1): Heavy Bolter; Heavy Flamer; Multi-melta.
5,,,"6""",4+,3+,2,2,7,6+,10,6,,,,,,,,,
5,,,,,,,,,,,,,,,,,,This unit can also be equipped with one of the following (Power Rating +1): Heavy Bolter; Heavy Flamer; Multi-melta.,,
5,,,,,,,,,,,,Heavy Bolter,Heavy,"36""",1,7+,9+,,,
5,,,,,,,,,,,,Heavy Flamer,Heavy,"8""",1,6+,9+,Inferno,,
5,,,,,,,,,,,,Multi-melta,Heavy,"24""",1,10+,4+,,,
5,,,,,,,,,,,,Boltguns,Small Arms,"24""",User,7+,9+,Rapid Fire,,
5,,,,,,,,,,,,Close Combat Weapons,Melee,Melee,User,8+,9+,,,
6,Troops,Zealots,"6""",5+,5+,2,4,7,11+,20,4,,,,,,,,"Imperium, Adeptus Ministorum, Adepta Sororitas, <Order>
Light, Infantry, Zealots",per 30 models (Power Rating 6): It can contain 30 models (Power Rating 6)
6,,,"6""",5+,5+,3,6,7,11+,30,6,,,,,,,,,
6,,,,,,,,,,,,,,,,,,Zealots is a unit that contains 20 models. It can contain 30 models (Power Rating 6). It is equipped with: Autopistols; Close Combat Weapons.,,
6,,,,,,,,,,,,Autopistols,Small Arms,"12""",User,8+,10+,,,
6,,,,,,,,,,,,Close Combat Weapons,Melee,Melee,User,8+,10+,,,
7,Elites,Imagifier,"6""",3+,3+,1,1,6,6+,1,2,,,,,,,"Simulacrum Imperialis: If any friendly units with this ability are on the battlefield when an Adepta Sororitas Command Asset is played, roll one D12; on a roll of 10+ return that Command Asset to your hand instead of discarding it. That Command Asset cannot be played again this turn.","Imperium, Adeptus Ministorum, Adepta Sororitas, <Order>
Light, Infantry, Character, Imagifier",
7,,,,,,,,,,,,Close Combat Weapons,Melee,Melee,User,10+,10+,,,
8,Elites,Celestian Squad,"6""",3+,3+,1,1,7,6+,5,4,,,,,,,"Bodyguard: At the start of the Damage phase, you can select one friendly <Order> Light Character unit that has at least one blast marker next to it and is within 6"" of this unit. Remove up to D3 blast markers from that Character unit and place them next to this unit.
Sworn Protectors: You can re-roll hit rolls for attacks made by this unit whilst it is within 6"" of any friendly <Order> Canoness units.","Imperium, Adeptus Ministorum, Adepta Sororitas, <Order>
Light, Infantry, Celestian Squad",per Unit (Power Rating +1): This unit can also be equipped with one of the following (Power Rating +1): Heavy Bolter; Heavy Flamer; Multi-melta.
8,,,"6""",3+,3+,2,2,7,6+,10,8,,,,,,,,,
8,,,,,,,,,,,,,,,,,,This unit can also be equipped with one of the following (Power Rating +1): Heavy Bolter; Heavy Flamer; Multi-melta.,,
8,,,,,,,,,,,,Heavy Bolter,Heavy,"36""",1,7+,9+,,,
8,,,,,,,,,,,,Heavy Flamer,Heavy,"8""",1,6+,9+,Inferno,,
8,,,,,,,,,,,,Multi-melta,Heavy,"24""",1,10+,4+,,,
8,,,,,,,,,,,,Boltguns,Small Arms,"24""",User,7+,9+,Rapid Fire,,
8,,,,,,,,,,,,Close Combat Weapons,Melee,Melee,x2,8+,9+,,,
9,Elites,Celestian Sacrosancts,"6""",3+,4+,1,1,7,6+,5,4,,,,,,,"Sacresant Shield: Improve the Save characteristic (to a maximum of 3+) of models in this unit by 1 against attacks made with melee weapons.
Sworn Protectors: You can re-roll hit rolls for attacks made with melee weapons by this unit whilst it is within 6"" of any friendly <Order> Canoness units.","Imperium, Adeptus Ministorum, Adepta Sororitas, <Order>
Light, Infantry, Celestian Sacrosancts",per 10 models (Power Rating 8): It can contain 10 models (Power Rating 8)
9,,,"6""",3+,4+,2,2,7,6+,10,8,,,,,,,,,
9,,,,,,,,,,,,,,,,,,Celestian Sacrosancts is a unit that contains 5 models. It can contain 10 models (Power Rating 8). It is equipped with: Anointed Halberds.,,
9,,,,,,,,,,,,Anointed Halberds,Melee,Melee,x2,6+,8+,,,
10,Elites,Dialogus,"6""",4+,3+,1,1,6,11+,1,1,,,,,,,"Laud Hailer: You can re-roll Morale tests taken for friendly Adepta Sororitas units whilst they are within 6"" of this unit.","Imperium, Adeptus Ministorum, Adepta Sororitas
Light, Infantry, Character, Dialogus",
10,,,,,,,,,,,,Dialogus Staff,Melee,Melee,User,11+,11+,,,
11,Elites,Preacher,"6""",4+,4+,1,1,5,8+,1,3,,,,,,,"War Hymns: Add 1 to the Attacks characteristic of friendly Adeptus Ministorum Infantry and Astra Militarum Infantry units whilst they are making Fight actions whilst within 6"" of any friendly units with this ability.
Zealot: You can re-roll hit rolls for attacks made with melee weapons by this unit.","Imperium, Adeptus Ministorum
Light, Infantry, Character, Ministorum Priest, Preacher",
11,,,,,,,,,,,,Close Combat Weapons,Melee,Melee,User,10+,10+,,,
12,Elites,Repentia Superior,"6""",3+,3+,1,1,6,5+,1,3,,,,,,,"Driven Onwards: If an <Order> Sisters Repentia unit starts a Move action within 6"" of any friendly units with this ability, add 3"" to that unit's Move characteristic whilst making that Move action.
Mistress of the Penitent: This unit does not take up slots in a Detachment that contains any <Order> Sisters Repentia units.","Imperium, Adeptus Ministorum, Adepta Sororitas, <Order>
Light, Infantry, Character, Repentia Superior",
12,,,,,,,,,,,,Neural Whips,Melee,Melee,User,8+,10+,,,
13,Elites,Sisters Repentia,"6""",3+,3+,2,1,6,11+,4,3,,,,,,,"Ignore Damage (6+)
Zealot: You can re-roll hit rolls for attacks made with melee weapons by this unit.","Imperium, Adeptus Ministorum, Adepta Sororitas, <Order>
Light, Infantry, Sisters Repentia",
13,,,"6""",3+,3+,4,2,6,11+,9,6,,,,,,,,,
13,,,,,,,,,,,,Penitent Eviscerators,Melee,Melee,User,5+,8+,,,
14,Elites,Crusaders,"6""",3+,4+,1,1,5,6+,4,1,,,,,,,"Ecclesiarchy Battle Conclave: This unit does not take up slots in a Detachment that contains any Ministorum Priests.
Zealot: You can re-roll hit rolls for attacks made with melee weapons by this unit.","Imperium, Adeptus Ministorum
Light, Infantry, Ecclesiarchy Battle Conclave, Crusaders",
14,,,"6""",3+,4+,2,2,5,6+,8,2,,,,,,,,,
14,,,,,,,,,,,,Crusader Power Swords,Melee,Melee,User,8+,8+,,,
15,Elites,Death Cult Assassins,"7""",3+,4+,1,1,5,9+,2,1,,,,,,,"Ecclesiarchy Battle Conclave: This unit does not take up slots in a Detachment that contains any Ministorum Priests.
Zealot: You can re-roll hit rolls for attacks made with melee weapons by this unit.","Imperium, Adeptus Ministorum
Light, Infantry, Ecclesiarchy Battle Conclave, Death Cult Assassins",
15,,,"7""",3+,4+,2,2,5,9+,4,2,,,,,,,,,
15,,,,,,,,,,,,Death Cult Power Blades,Melee,Melee,x2,8+,8+,,,
16,Elites,Arco-flagellants,"6""",4+,-,1,1,5,11+,3,2,,,,,,,"Ignore Damage (6+)
Zealot: You can re-roll hit rolls for attacks made with melee weapons by this unit.
Ecclesiarchy Battle Conclave: This unit does not take up slots in a Detachment that contains any Ministorum Priests.","Imperium, Adeptus Ministorum
Light, Infantry, Ecclesiarchy Battle Conclave, Arco-flagellants",
16,,,"6""",4+,-,1,1,5,11+,5,2,,,,,,,,,
16,,,"6""",4+,-,2,2,5,11+,10,3,,,,,,,,,
16,,,,,,,,,,,,Arco-flails,Melee,Melee,x3,7+,9+,,,
17,Fast,Dominion Squad,"6""",4+,3+,1,1,6,6+,5,4,,,,,,,Infiltrators,"Imperium, Adeptus Ministorum, Adepta Sororitas, <Order>
Light, Infantry, Dominion Squad",per weapon (Power Rating +1 per weapon): This unit can also be equipped with up to four of the following in any combination (Power Rating +1 per weapon): Flamer; Meltagun; Storm Bolter.
17,,,"6""",4+,3+,2,2,6,6+,10,8,,,,,,,,,
17,,,,,,,,,,,,,,,,,,This unit can also be equipped with up to four of the following in any combination (Power Rating +1 per weapon): Flamer; Meltagun; Storm Bolter.,,
17,,,,,,,,,,,,,,,,,,"If this unit is not equipped with any Flamers, Meltaguns or Storm Bolters, and/or if it contains 10 models, it is also equipped with Boltguns.",,
17,,,,,,,,,,,,Flamer,Heavy,"8""",1,7+,10+,Inferno,,
17,,,,,,,,,,,,Meltagun,Heavy,"12""",1,11+,7+,,,
17,,,,,,,,,,,,Boltguns,Small Arms,"24""",User,7+,9+,Rapid Fire,,
17,,,,,,,,,,,,Storm Bolter,Small Arms,"24""",1,9+,10+,Rapid Fire,,
17,,,,,,,,,,,,Close Combat Weapons,Melee,Melee,User,8+,9+,,,
18,Fast,Novitiate Squad,"6""",4+,3+,2,2,6,10+,10,6,,,,,,,Infiltrators,"Imperium, Adeptus Ministorum, Adepta Sororitas, <Order>
Light, Infantry, Novitiate Squad",
18,,,,,,,,,,,,,,,,,,Novitiate Squad is a unit that contains 10 models. It is equipped with: Novitiate Melee Weapons.,,
18,,,,,,,,,,,,Autoguns,Small Arms,"24""",User,8+,10+,Rapid Fire,,
18,,,,,,,,,,,,Novitiate Melee Weapons,Melee,Melee,x2,7+,9+,,,
19,Fast,Sanctifiers,"6""",4+,4+,2,2,6,11+,10,6,,,,,,,"Infiltrators
Purge the Unclean: Re-roll wound rolls of 1 for attacks made by this unit that target Infantry units.","Imperium, Adeptus Ministorum, Adepta Sororitas
Light, Infantry, Sanctifiers",
19,,,,,,,,,,,,,,,,,,Sanctifiers is a unit that contains 10 models. It is equipped with: Braziers of Holy Fire; Close Combat Weapons.,,
19,,,,,,,,,,,,Braziers of Holy Fire,Heavy,"12""",3,7+,10+,Inferno,,
19,,,,,,,,,,,,Close Combat Weapons,Melee,Melee,User,7+,9+,,,
20,Fast,Seraphim Squad,"12""",3+,3+,1,1,6,6+,5,5,,,,,,,Deep Strike,"Imperium, Adeptus Ministorum, Adepta Sororitas, <Order>
Light, Infantry, Fly, Jump Pack, Seraphim Squad",
20,,,"12""",3+,3+,2,2,6,6+,10,9,,,,,,,,,
20,,,,,,,,,,,,Twin Bolt Pistols,Small Arms,"12""",x2,7+,9+,,,
20,,,,,,,,,,,,Close Combat Weapons,Melee,Melee,User,8+,9+,,,
21,Fast,Zephyrim Squad,"12""",3+,3+,1,1,7,6+,5,5,,,,,,,Deep Strike,"Imperium, Adeptus Ministorum, Adepta Sororitas, <Order>
Light, Infantry, Jump Pack, Fly, Zephyrim Squad",
21,,,"12""",3+,3+,2,2,7,6+,10,10,,,,,,,,,
21,,,,,,,,,,,,Bolt Pistols,Small Arms,"12""",User,7+,9+,,,
21,,,,,,,,,,,,Zephyrim Power Swords,Melee,Melee,x2,5+,9+,,,
22,Heavy,Retributor Squad,"6""",4+,3+,1,1,6,6+,5,3,,,,,,,,"Imperium, Adeptus Ministorum, Adepta Sororitas, <Order>
Light, Infantry, Retributor Squad",per weapon (Power Rating +1 per weapon): This unit can also be equipped with up to four of the following in any combination (Power Rating +1 per weapon): Heavy Bolter; Heavy Flamer; Multi-melta.
22,,,"6""",4+,3+,2,2,6,6+,10,6,,,,,,,,,
22,,,,,,,,,,,,,,,,,,This unit can also be equipped with up to four of the following in any combination (Power Rating +1 per weapon): Heavy Bolter; Heavy Flamer; Multi-melta.,,
22,,,,,,,,,,,,,,,,,,"If this unit is not equipped with any Heavy Bolters, Heavy Flamers or Multi-meltas, and/or if it contains 10 models, it is also equipped with Boltguns.",,
22,,,,,,,,,,,,Heavy Bolter,Heavy,"36""",1,7+,9+,,,
22,,,,,,,,,,,,Heavy Flamer,Heavy,"8""",1,6+,9+,Inferno,,
22,,,,,,,,,,,,Multi-melta,Heavy,"24""",1,10+,4+,,,
22,,,,,,,,,,,,Boltguns,Small Arms,"24""",User,7+,9+,Rapid Fire,,
22,,,,,,,,,,,,Close Combat Weapons,Melee,Melee,User,8+,9+,,,
23,Heavy,Exorcist,"12""",6+,3+,1,2,5,6+,1,7,,,,,,,,"Imperium, Adeptus Ministorum, Adepta Sororitas, <Order>
Heavy, Vehicle, Exorcist","per Unit: Instead of 1 Exorcist Missile Launcher, this unit can be equipped with Exorcist Conflagration Rockets."
23,,,,,,,,,,,,,,,,,,"Instead of 1 Exorcist Missile Launcher, this unit can be equipped with Exorcist Conflagration Rockets.",,
23,,,,,,,,,,,,Exorcist Conflagration Rockets,Heavy,"48""",3,6+,9+,,,
23,,,,,,,,,,,,Exorcist Missile Launcher,Heavy,"48""",2,8+,5+,,,
23,,,,,,,,,,,,Armoured Tracks,Melee,Melee,User,10+,10+,,,
24,Heavy,Immolator,"12""",6+,3+,1,2,6,6+,1,5,,,,,,,"TRANSPORT: This unit can transport up to 6 friendly Adeptus Ministorum Infantry models. It cannot transport Jump Pack models and can only transport Adepta Sororitas models if they have the <Order>, Dialogus or Hospitaller keyword.","Imperium, Adeptus Ministorum, Adepta Sororitas, <Order>
Heavy, Vehicle, Transport, Immolator","per Unit: Instead of 1 Immolation Flamer, this unit can be equipped with one of the following: 1 Twin Heavy Bolter; 1 Twin Multi-melta."
24,,,,,,,,,,,,,,,,,,"Instead of 1 Immolation Flamer, this unit can be equipped with one of the following: 1 Twin Heavy Bolter; 1 Twin Multi-melta.",,
24,,,,,,,,,,,,Immolation Flamer,Heavy,"12""",2,6+,9+,Inferno,,
24,,,,,,,,,,,,Twin Heavy Bolter,Heavy,"36""",2,7+,9+,,,
24,,,,,,,,,,,,Twin Multi-melta,Heavy,"24""",2,10+,4+,,,
24,,,,,,,,,,,,Armoured Tracks,Melee,Melee,User,10+,10+,,,
25,Heavy,Mortifiers,"9""",3+,3+,1,1,6,7+,1,5,,,,,,,Ignore Damage (6+),"Imperium, Adeptus Ministorum, Adepta Sororitas
Heavy, Vehicle, Mortifiers","per Unit: For each model this unit contains, it must also be equipped with one of the following: 2 Heavy Bolters; 2 Heavy Flamers; 1 Heavy Bolter and 1 Heavy Flamer."
25,,,"9""",3+,3+,2,2,6,7+,2,8,,,,,,,,,
25,,,"9""",3+,3+,3,3,6,7+,3,12,,,,,,,,,
25,,,"9""",3+,3+,4,4,6,7+,4,16,,,,,,,,,
25,,,,,,,,,,,,,,,,,,"For each model this unit contains, it must also be equipped with one of the following: 2 Heavy Bolters; 2 Heavy Flamers; 1 Heavy Bolter and 1 Heavy Flamer.",,
25,,,,,,,,,,,,Heavy Bolter,Heavy,"36""",1,7+,9+,,,
25,,,,,,,,,,,,Heavy Flamer,Heavy,"8""",1,6+,9+,Inferno,,
25,,,,,,,,,,,,Mortifier Weapons,Melee,Melee,x2,5+,7+,,,
26,Heavy,Penitent Engines,"7""",4+,5+,1,1,6,7+,1,4,,,,,,,"Ignore Damage (6+)
Zealot: You can re-roll hit rolls for attacks made with melee weapons by this unit.","Imperium, Adeptus Ministorum
Heavy, Vehicle, Penitent Engines","per Unit: For each model this unit contains, it must also be equipped with 2 Heavy Flamers."
26,,,"7""",4+,5+,2,2,6,7+,2,8,,,,,,,,,
26,,,"7""",4+,5+,3,3,6,7+,3,12,,,,,,,,,
26,,,"7""",4+,5+,4,4,6,7+,4,16,,,,,,,,,
26,,,,,,,,,,,,,,,,,,"For each model this unit contains, it must also be equipped with 2 Heavy Flamers.",,
26,,,,,,,,,,,,Heavy Flamer,Heavy,"8""",1,6+,9+,Inferno,,
26,,,,,,,,,,,,Penitent Engine Weapons,Melee,Melee,x2,5+,7+,,,
