No,Type,Name,M,WS,BS,A,W,Ld,Sv,N,Pt,Weapon,Type,Rng,A,SAP,SAT,Abilties,Keywords,Options
,,,,,,,,,,,,,,,,,,,,
1,HQ,Commander Shadowsun,"8""",3+,2+,1,1,7,5+,1,11,,,,,,,"Infiltrators, Stealth, Master of War
Genius of Kauyon: Once per battle, at the start of the Action phase, this unit can declare Kauyon even if Kauyon or Mont'ka has already been declared. Mont'ka and Kauyon cannot be both declared in the same turn.
Command-link: If this unit has a Command-link Drone, then after this unit makes a Move action, you can select one friendly T'au Empire unit within 6"" of this unit. Until the end of the phase, re-roll hit rolls of 1 for attacks made with ranged weapons by that unit.","T'au Empire, T'au Sept
Light, Infantry, Fly, Battlesuit, Character, Commander, XV22 Stalker, Jet Pack, Shadowsun",per Unit (Power Rating +1): This unit may have a Command-link Drone (Power Rating +1); per Unit (Power Rating +1): This unit may have Shield Drones (Power Rating +1)
1,,,,,,,,,,,,,,,,,,Commander Shadowsun is a unit that contains 1 model. It is equipped with: Fusion Blasters; Close Combat Weapons. You can only include one of this unit in your army.,,
1,,,,,,,,,,,,,,,,,,"This unit may have a Command-link Drone (Power Rating +1). If this unit has a Command-link Drone, it has the following additional abilities: Command-link.",,
1,,,,,,,,,,,,,,,,,,"This unit may have Shield Drones (Power Rating +1). If this unit has Shield Drones, improve its Save characteristic by 1.",,
1,,,,,,,,,,,,Fusion Blasters,Heavy,"18""",2,10+,4+,,,
1,,,,,,,,,,,,Close Combat Weapons,Melee,Melee,User,9+,10+,,,
2,HQ,Commander Farsight,"8""",2+,2+,1,1,7,5+,1,13,,,,,,,"Deep Strike, Master of War
Genius of Mont'ka: Once per battle, at the start of the Action phase, this unit can declare Mont'ka even if Kauyon or Mont'ka has already been declared. Mont'ka and Kauyon cannot be both declared in the same turn.
Way of the Short Blade: Re-roll hit rolls of 1 made for friendly Farsight Enclave units when using melee weapons whilst they are within 6"" of this unit (and ranged weapons, if the target is an Orks unit).","T'au Empire, Farsight Enclaves
Light, Battlesuit, Fly, Character, Commander, Jet Pack, Farsight",
2,,,,,,,,,,,,,,,,,,Commander Farsight is a unit that contains 1 model. It is equipped with: High-intensity Plasma Rifle; The Dawn Blade. You can only include one of this unit in your army.,,
2,,,,,,,,,,,,High-intensity Plasma Rifle,Heavy,"30""",1,6+,6+,Rapid Fire,,
2,,,,,,,,,,,,The Dawn Blade,Melee,Melee,x2,7+,7+,,,
3,HQ,Commander,"8""",3+,2+,1,1,7,6+,1,5,,,,,,,"Deep Strike, Master of War
Enforcer Battlesuit: At the start of the Damage phase, if this unit has an XV85 Enforcer Battlesuit, you can remove one blast marker from this unit. Small blast markers must be removed before large blast markers.","T'au Empire, <Sept>
Light, Battlesuit, Fly, Character, XV8 Crisis, Jet Pack, Commander","per Unit: This unit must be equipped with two items from the Commander Weapons list.; per Unit: This unit can also be equipped with two items from the Commander Weapons list.; per Unit (Power Rating +1): This model can have one of the following (Power Rating +1):; per Unit: If this unit has an XV85 Enforcer Battlesuit, it has the following additional abilities: Enforcer Battlesuit; has the XV85 Enforcer keyword instead of the XV8 Crisis keyword.; per Unit: If this unit has an XV86 Coldstar Battlesuit, it has a Move characteristic of 20""; is equipped with 1 High-output Burst Cannon instead of one item from the Commander Weapons list; has the XV86 Coldstar keyword instead of the XV8 Crisis keyword.; per Unit (Power Rating +1): This unit can have up to two of the following (Power Rating +1): Gun Drone, Marker Drone, Shield Drone."
3,,,,,,,,,,,,,,,,,,A Commander is a unit that contains 1 model. It is equipped with: Close Combat Weapons.,,
3,,,,,,,,,,,,,,,,,,This unit must be equipped with two items from the Commander Weapons list.,,
3,,,,,,,,,,,,,,,,,,This unit can also be equipped with two items from the Commander Weapons list.,,
3,,,,,,,,,,,,,,,,,,"Commander Weapons list: Add 1 to the Power Rating for each Airbursting Fragmentation Projector, Fusion Blaster and Missile Pod, and 2 for each Burst Cannon, Cyclic Ion Blaster, Flamer and Plasma Rifle. Cyclic Ion Blaster cannot be taken by a Commander that has an XV86 Coldstar Battlesuit.",,
3,,,,,,,,,,,,,,,,,,This model can have one of the following (Power Rating +1):,,
3,,,,,,,,,,,,,,,,,,"- XV8-02 Crisis Iridium Battlesuit. If this unit has an XV8-02 Crisis Iridium Battlesuit, improve its Save characteristic by 1.",,
3,,,,,,,,,,,,,,,,,,"- XV85 Enforcer Battlesuit. If this unit has an XV85 Enforcer Battlesuit, it has the following additional abilities: Enforcer Battlesuit; has the XV85 Enforcer keyword instead of the XV8 Crisis keyword.",,
3,,,,,,,,,,,,,,,,,,"- XV86 Coldstar Battlesuit. If this unit has an XV86 Coldstar Battlesuit, it has a Move characteristic of 20""; is equipped with 1 High-output Burst Cannon instead of one item from the Commander Weapons list; has the XV86 Coldstar keyword instead of the XV8 Crisis keyword.",,
3,,,,,,,,,,,,,,,,,,"This unit can have up to two of the following (Power Rating +1): Gun Drone, Marker Drone, Shield Drone.",,
3,,,,,,,,,,,,,,,,,,"- If this unit has a Gun Drone, re-roll wound rolls of 1 for attacks made with ranged weapons by this unit.",,
3,,,,,,,,,,,,,,,,,,"- If this unit has a Marker Drone, re-roll hit rolls of 1 for attacks made with ranged weapons by this unit.",,
3,,,,,,,,,,,,,,,,,,"- If this unit has a Shield Drone, improve its Save characteristic by 1.",,
3,,,,,,,,,,,,Airbursting Fragmentation Projector,Heavy,"18""",1,8+,10+,Barrage,,
3,,,,,,,,,,,,Burst Cannon,Heavy,"18""",2,8+,9+,,,
3,,,,,,,,,,,,Cyclic Ion Blaster,Heavy,"18""",2,8+,8+,,,
3,,,,,,,,,,,,Flamer,Heavy,"8""",1,7+,10+,Inferno,,
3,,,,,,,,,,,,Fusion Blaster,Heavy,"18""",1,10+,4+,,,
3,,,,,,,,,,,,Missile Pod,Heavy,"36""",1,6+,8+,,,
3,,,,,,,,,,,,Plasma Rifle,Heavy,"24""",1,7+,7+,Rapid Fire,,
3,,,,,,,,,,,,High-output Burst Cannon,Heavy,"18""",4,8+,9+,,,
3,,,,,,,,,,,,Close Combat Weapons,Melee,Melee,User,9+,10+,,,
4,Lord,Aun'Va,"6""",3+,3+,2,2,7,10+,3,5,,,,,,,"Failure Is Not an Option: Friendly T'au Empire units can use this unit's Leadership characteristic instead of their own whilst they are within 6"" of this unit.
Supreme Loyalty: You can re-roll Morale tests taken for T'au Empire units in this unit's Detachment whilst this unit is on the battlefield.
Paradox of Duality: Subtract 1 from wound rolls for attacks that target this unit.","T'au Empire, T'au Sept
Light, Infantry, Character, Ethereal, Ethereal Guard, Aun'Va",
4,,,,,,,,,,,,,,,,,,Aun'Va is a unit that contains 3 models. It is equipped with: Honour Blades. You can only include one of this unit in your army.,,
4,,,,,,,,,,,,Honour Blades,Melee,Melee,User,8+,8+,,,
5,HQ,Ethereal,"6""",3+,4+,1,1,7,10+,1,2,,,,,,,"Failure Is Not an Option: Friendly T'au Empire units can use this unit's Leadership characteristic instead of their own whilst they are within 6"" of this unit.","T'au Empire, <Sept>
Light, Infantry, Character, Ethereal","per Unit (Power Rating +1): This unit can have up to two of the following (Power Rating +1): Gun Drone, Marker Drone, Shield Drone.; per Unit (Power Rating +1): This unit can have a Hover Drone (Power Rating +1)"
5,,,,,,,,,,,,,,,,,,An Ethereal is a unit that contains 1 model. It is equipped with: Honour Blade.,,
5,,,,,,,,,,,,,,,,,,"This unit can have up to two of the following (Power Rating +1): Gun Drone, Marker Drone, Shield Drone.",,
5,,,,,,,,,,,,,,,,,,"- If this unit has a Gun Drone, it is also equipped with 1 Pulse Carbine.",,
5,,,,,,,,,,,,,,,,,,"- If this unit has a Marker Drone, re-roll hit rolls of 1 for attacks made with ranged weapons by this unit.",,
5,,,,,,,,,,,,,,,,,,"- If this unit has a Shield Drone, improve its Save characteristic by 1.",,
5,,,,,,,,,,,,,,,,,,"This unit can have a Hover Drone (Power Rating +1). If this unit has a Hover Drone, it has a Move characteristic of 8"" and gains the following additional keywords: Jet Pack, Fly.",,
5,,,,,,,,,,,,Honour Blade,Melee,Melee,User,8+,8+,,,
5,,,,,,,,,,,,Pulse Carbine,Small Arms,"18""",User,9+,9+,,,
6,Troops,Strike Team,"6""",5+,4+,1,1,5,8+,5,3,,,,,,,,"T'au Empire, <Sept>
Light, Infantry, Strike Team","per 10 models (Power Rating 6): It can contain 10 models (Power Rating 6); per 2 models (Power Rating 7): 12 models (Power Rating 7); per Unit (Power Rating +1): This unit can have up to two of the following (Power Rating +1): Guardian Drone, Gun Drone, Marker Drone, Shield Drone."
6,,,"6""",5+,4+,2,2,5,8+,10,6,,,,,,,,,
