No,Type,Name,M,WS,BS,A,W,Ld,Sv,N,Pt,Weapon,Type,Rng,A,SAP,SAT,Abilties,Keywords,Options
,,,,,,,,,,,,,,,,,,,,
1,HQ,The Swarmlord,"9""",2+,3+,2,2,8,5+,1,12,,,,,,,"The Will of the Hive Mind: At the start of the Generate Command Assets step, if this unit is a Warlord and is on the battlefield, you generate one extra Command Asset.
Hive Commander: Morale tests taken for friendly <Hive Fleet> units are automatically passed whilst they are within 18"" of this unit.","Tyranids, Tyranid Hive Fleets, <Hive Fleet>
Heavy, Monster, Psyker, Character, Synapse Creature, Hive Tyrant, The Swarmlord",
1,,,,,,,,,,,,,,,,,,The Swarmlord is a unit that contains 1 model. It is equipped with: Bone Sabres; Prehensile Pincer Tail. You can only include one of this unit in your army.,,
1,,,,,,,,,,,,Bone Sabres,Melee,Melee,x2,6+,6+,Destroyer,,
1,,,,,,,,,,,,Prehensile Pincer Tail,Melee,Melee,User,8+,8+,,,
2,HQ,Tervigon,"8""",4+,4+,1,3,7,6+,1,6,,,,,,,"Brood Progenitor: Re-roll hit rolls of 1 for attacks made with ranged weapons by friendly <Hive Fleet> Termagant units whilst they are within 6"" of this unit.
Synaptic Backlash: If this unit is destroyed, place one blast marker next to every friendly <Hive Fleet> Termagant unit within 6"" of this unit before removing it from the battlefield.
Spawn Termagants: Once per turn, at the start of the Set Up Reinforcements step of the Orders phase, this unit can spawn Termagants. If it does, add a new unit of 10 Termagant models equipped with Fleshborers to your army: it is part of this unit's Detachment and has the <Hive Fleet> keyword. Set the new unit up on the battlefield wholly within 6"" of this unit and more than 1"" from enemy units. If the unit cannot be placed in this way, it is destroyed. Then roll a D6; on a 1-3 this unit cannot use this ability again this battle.","Tyranids, Tyranid Hive Fleets, <Hive Fleet>
Heavy, Monster, Psyker, Character, Synapse Creature, Tervigon","per Unit: Instead of Massive Scything Talons, this unit can be equipped with Massive Crushing Claws."
2,,,,,,,,,,,,,,,,,,A Tervigon is a unit that contains 1 model. It is equipped with: Stinger Salvo; Massive Scything Talons.,,
2,,,,,,,,,,,,,,,,,,"Instead of Massive Scything Talons, this unit can be equipped with Massive Crushing Claws.",,
2,,,,,,,,,,,,Stinger Salvo,Heavy,"24""",1,7+,9+,,,
2,,,,,,,,,,,,Massive Crushing Claws,Melee,Melee,User,7+,5+,,,
2,,,,,,,,,,,,Massive Scything Talons,Melee,Melee,User,5+,7+,,,
