Set,Nm,Fac,Fac Nm,Name,Type,SubType,Cst,Atk,Life,Sh,Abilities1,Abilities2
,,,,,,,,,,,,
C2,1,Knights,1,Rotate Ion Shields,Knights,,,,,,Play in the damage phase.  Remove 1 blast unit from an Imperial Knights or Chaos Knights unit.,
C2,2,Knights,2,Full Tilt,Knights,,,,,,Play in the action phase. Imperial Knights or Chaos Knights units in a detachment gain 6” to their Move.,
C2,3,Knights,3,Thunderstomp,Knights,,,,,,"Use in an action phase. After an Imperial Knight or Chaos Knight unit fights, roll a D12 for each enemy light unit in base contact with it. On an 6+, that unit gets a blast marker.",
C2,4,Knights,4,Devestating Attack,Knights,,,,,,Use in the action phase.  A single Imperial Knight or Chaos Knight unit gets +1 to hit and damage rolls in melee.,
C2,5,Knights,5,Heirlooms of the Household,Knights,,,,,,"Search your deck for a Knight, Imperial Knight or Traitor Knight card, and then play it.",
C2,6,Imperial Knights,1,Ion Aegis,Imperial Knights,,,,,,Use in the damage phase.  Chose an Imperial Knight.  Imperial units within 6” of it gain Ignore Damage (6+) ability.,
C2,7,Knights,1,Legendary Hero,Freeblade,,,,,,Use in the action phase. A Freeblade unit can reroll hit and wound rolls.,
C2,8,Imperial Knights,1,Benevolence of The Machine God,Questor Mechanicus,,,,,,"Use in the Order phase.  A Questor Mechanicus unit can roll a d6 for each damage marker on it. On a 5+, remove 1 damage marker from that unit.",
C2,9,Knights,1,Valiant Last Stand,Questor Imperialis,,,,,,"Use when a Questor Imperialis unit is destroyed. Before removing it, it makes a free shoot or fight action.",
C2,10,Traitor Knights,1,The Traitor's Mark,Questor Traitoris,,,,,,Use at the start of the damage phase. One Questor Traitoris unit gains the Terror Troops ability until the end of the phase. Then you may force the closest enemy unit within 6” of the Traitoris unit to make an immediate morale test.,
C2,11,Imperial Knights,1,Glory of the Charge,House Griffith,,,,,,"Use before carrying out an order for a Detachment lead by a House Griffith Commander. The order is changed to Assault, and until the end of the phase, reroll missed hits for melee attacks for House Griffith units in that detachment.",
C2,12,Imperial Knights,2,Gallant Warriors,House Terryn,,,,,,"Use in the action phase. House Terryn units in a detachment add 1 to their Attacks and hit rolls made with melee attacks, until the end of the phase.",
C2,13,Imperial Knights,3,Relentless March,House Raven,,,,,,"Use before carrying out an order for a Detachment lead by a House Krast Commander. The order is changed to Advance, and until the end of the phase, double the Move Characterstic for House Krast units in that detachment.",
C2,14,Imperial Knights,4,OathKeepers,House Hawkshroud,,,,,,Use in the action phase.  House Hawkshroud units in a detachment ignore criticaly damaged penalties and gain 1 to hit rolls against a chosen enemy unit.,
C2,15,Imperial Knights,5,Hunters of the Foe,House Cadmus,,,,,,Use in the Action Phase.  House Cadmus units in an attachment may reroll wound rolls for melee attacks against light units.,
C2,16,Imperial Knights,6,Close-Quarters Killers,House Mortan,,,,,,Use in the Action phase. Select 1 House Mortan unit. It may make an additional fight action after its normal actions this phase.,
C2,17,Imperial Knights,7,Cold Fury,House Kraft,,,,,,"Use in the Action phase. Select 1 House Krast unit that hasn't carried out its order. A unit that scores a hit with a melee weapon scores 2 hits instead of 1, for 3 for a super-heavy attack.",
C2,18,Imperial Knights,8,Firestorm Protocols,House Vulker,,,,,,"Use before carrying out an order for a Detachment lead by a House Vulker Commander. The order is changed to Aimed Fire, and one House Vulker unit may make an a free additional shoot action.",
C2,19,Imperial Knights,9,Omnissiah's Grace,House Taranis,,,,,,Use in the damage phase. Units in a House Taranis Detachment gain the Ignore Damage(5+) ability.,
C2,20,Adeptus Mechanicus,1,Incantation of the Iron Soul,Adeptus Mechanicus,Canticle,,,,,Play during the start of the Damage Phase. Adeptus Mechanicus units in a detachment automatically pass morale tests.,
C2,21,Adeptus Mechanicus,2,Benediction of the Omnissiah,Adeptus Mechanicus,Canticle,,,,,Play in any phase.  One Adeptus Mechanic Detachment rolls D12s instead of D6s for ranged hit rolls until the end of the phase.,
C2,22,Adeptus Mechanicus,3,Chant of the Remorseless Fist,Adeptus Mechanicus,Canticle,,,,,Play in any phase.  One Adeptus Mechanic Detachment rolls D12s instead of D6s for melee hit rolls until the end of the phase.,
C2,23,Adeptus Mechanicus,4,Machine Spirits Revenge,Adeptus Mechanicus,Vehicle,,,,,"Play when an Adeptus Mechanicus Vehicle unit is destroyed.  Roll a d6 for each unit within 6” of it. On a 4+, that unit gets a blast marker.",
C2,24,Adeptus Mechanicus,5,Acquisition at Any Cost,Adeptus Mechanicus,,,,,,"Use in any phase. Adeptus Mechanicus units of a chosen detachment have Objective Secured ability until end of turn. This turn, an Adeptus Mechanicus Warlord in that detachment can roll a D12 instead of a D6 for one Armour Save roll.",
C2,25,Adeptus Mechanicus,6,Litany of the Electromancer,Adeptus Mechanicus,Canticle,,,,,"Use in an action phase. Roll a D12 for each Adeptus Mechanicus unit of one detachment in base contact with an enemy unit. On an 8+, each enemy in base contact with that unit gts a blast marker.",
C2,26,Adeptus Mechanicus,7,Protector Imperative,Adeptus Mechanicus,Skitarii,,,,,Use in an action phase. 3 Skitarii units in your army may make a free shoot action.,
C2,27,Adeptus Mechanicus,8,Machine Spirit Resurgent,Adeptus Mechanicus,Vehicle,,,,,Use during the Damage phase. Mechanicus Vehicle Units in a single detachment get Ignore Damage (5+) ability.,
C2,28,Adeptus Mechanicus,9,Gloria Mechanicus,Adeptus Mechanicus,,,,,,Play at any time. Search your deck for a Canticle and play it.,
C2,29,Adeptus Mechanicus,10,First-Hand Field Testing,Ryza,,,,,,"Use in the action phase. 1 Ryza Character in your army within 24” of an enemy unit rolls a d6.  If the result is equal or greater than the Character's BS, place 2 blast markers on the enemy unit.",
C2,30,Adeptus Mechanicus,11,Shroud Protocols,Stygies VIII,,,,,,Use in the action phase. Stygies VIII units in a detachment are obscured targets.,
C2,31,Adeptus Mechanicus,12,Staunch Defenders,Agripinaa,,,,,,"Use before carrying out an order for a Detachment lead by a Agripinaa Commander. The order is changed to Aimed Fire, and until the end of the phase, re-roll wound rolls of 1 for ranged attacks from Agripinaa units in that detachment.",
C2,32,Adeptus Mechanicus,13,Legio Teleportarium,Lucius,,,,,,"Use in the action phase. Select 1 Lucius unit, remove it, and then set it up anywhere on the battlefield more than 9” from enemy units.",
C2,33,Adeptus Mechanicus,14,Deafening Assault,Metalica,,,,,,Use in the Damage Phase. 1 Metalica unit gains Terror Troops until the end of the phase.,
C2,34,Adeptus Mechanicus,15,Refusal to Yield,Graia,,,,,,Use in the Damage Phase. Graia units in an detachment gain the Ignore Damage(5+) ability until the end of the phase.,
C2,35,Adeptus Mechanicus,16,Wrath of Mars,Mars,,,,,,Use in the action phase. Marss units in a detachment can add 1 to wound rolls for ranged attacks.,
C2,36,Sisters of Battle,1,Divine Guidance,Sisters of Battle,,,,,,"Play when you carry out an order. Until end of phase, roll D12s instead of D6s for ranged weapon hit rolls by Adeptus Sororitas in this detachment.",
C2,37,Sisters of Battle,2,Spirit of the Martyr,Sisters of Battle,Infantry,,,,,"Play in the action phase. Roll a D12 for every Adeptus Sororitas Infantry unit in a detachment. on a 9+, remove 1 damage marker on that unit.",
C2,38,Sisters of Battle,3,Light of the Emperor,Sisters of Battle,,,,,,Play at the start of the damage phase. All Adeptus Sororitas units in 1 detachment automatically pass their morale tests.,
C2,39,Sisters of Battle,4,Shield of Faith,Sisters of Battle,,,,,,Play at the start of the Damage phase. One Adeptus Sororitas unit always rolls D12s when making saving rolls for this phase.,
C2,40,Sisters of Battle,5,Purity of Faith,Sisters of Battle,,,,,,"Play if an enemy plays a psychic power asset within 36” of an Adeptus Sororitas unit. Roll a D12. on a 1-5, keep this card. On a 6+, that psychic power's effects are not resolved. Alternatively, discard this to reroll a hit roll.",
C2,41,Sisters of Battle,6,Faith and Fury,Sisters of Battle,,,,,,Play before an Adeptus Sororitas unit makes a shoot or fight action. Each hit counts as two hits instead of one.,
C2,42,Sisters of Battle,7,The Passion,Sisters of Battle,,,,,,"Use before carrying out an order for a Detachment lead by a Adepta Sororitas Commander. The order is changed to Advance, and until the end of the phase, double the Move Characterstic for Adepta Sororitas units in that detachment.",
C2,43,Sisters of Battle,8,Hand of the Emperor,Sisters of Battle,,,,,,"Play when you carry out an order. Add 1 to melee weapon attacks by Adepta Sororitas, or 2 for Adepta Sororitas characters.",
C2,44,Sisters of Battle,9,Blood of Martyrs,Our Martyred Lady,,,,,,Play when an Order of Our Martyred Lady warlord is destroyed. Each unit in the warlord's detachment may make a free shoot or fight action.,
C2,45,Sisters of Battle,10,Daughters of the Emperor,Ebon Chalice,,,,,,"Play at the start of the Orders Phase. If you have an Order of the Ebon Chalice Warlord, draw 1 Sisters asset from your discard pile.",
C2,46,Sisters of Battle,11,Devout Serenity,Sacred Rose,,,,,,Play when you carry out an order. Replace that order with Aimed Fire. Ranged attacks by Order of the Sacred Rose units can reroll wound rolls of 1 for attacks.,
C2,47,Sisters of Battle,12,Quick to Anger,Bloody Rose,,,,,,Use in the action phase. Up to 3 Order of the Bloody Rose add 1 to their attacks for fight actions until the end of the phase.,
C2,48,Sisters of Battle,13,"Deeds, Not Words",Argent Shroud,,,,,,Use in the action phase. Up to 2 Order of the Argen Shroud units may make a free shoot or fight action.,
